CountyGeo,Students Enrolled,Total Days Lost,All Student Days Lost per 100 Students,Black Students,Black Days Lost,Black Days Lost per 100 Students,Latino Students,Latino Days Lost,Latino Days Lost per 100 Students,White Students Enrolled,White Days Lost,White Days Lost per 100 Students,SWD Enrolled,SWD Days Lost,SWD Days Lost per 100 Students,SWoD Enrolled,SWoD Days Lost,SWoD Days Lost per 100 Students,Native American Students Enrolled,Native American Days Lost,Native American Days Lost per 100 Students,Pac. Islander Students Enrolled,Pac. Islander Days Lost,Pac. Islander Lost per 100 Students,Asian Students Enrolled,Asian Days Lost,Asian Days Lost per 100 Students,Law Enforcement,LEO-to-Student Ratio,Counselors,Counselor-to-Student Ratio,Teachers,Teacher-to-Student Ratio,Nurses,Nurse-to-Student Ratio,Psychologists,Psych-to-Student Ratio,Social Workers,SW-to-Student Ratio,Non-matching,Remove from CNC Map,CNC Students Enrolled,Percent of Schools w Cops and No Counselors,Number of Schools,SOC Enrolled,Number of CNC SCHOOLS,Security Guards,MTW Status,,,
48489,"4,455",502,11,12,1,8,"4,312",497,12,99,4,4,312,115,37,"4,145",387,9,14,0,0,2,0,0,10,0,0,4,1114,13,335,325,14,2,1915,2,2550,4,1275,Matching,,,0.0%,23,828,,0,Matching and updated,,,
28027,"4,453","1,435",32,"4,169","1,385",33,58,10,17,206,40,19,468,67,14,"3,996","1,368",34,4,0,0,0,0,0,14,0,0,10,491,13,343,342,13,11,359,4,925,4,1078,Matching,,,0.0%,18,185,,0,Matching and updated,,,
27021,"4,451",438,10,51,19,37,77,7,9,"2,778",244,9,696,207,30,"3,761",231,6,"1,401",153,11,10,0,0,28,3,11,8,647,9,495,345,13,19,227,11,399,5,917,Matching,,,0.0%,13,228,,0,Matching and updated,,,
46011,"4,450","1,605",36,91,6,7,194,99,51,"3,785","1,460",39,507,156,31,"3,905","1,449",37,79,16,20,12,11,92,140,1,1,5,935,14,316,304,15,8,557,0,0,3,1485,Matching,,,0.0%,13,4356,,3,Matching and updated,,,
39131,"4,447","1,177",26,40,5,13,43,0,0,"4,241","1,162",27,661,563,85,"3,771",614,16,10,0,0,2,0,0,32,0,0,2,3068,11,424,263,17,0,0,2,1549,5,688,Matching,1,837,27.0%,12,428,3,0,Matching and updated,,,
38089,"4,447",229,5,149,18,12,314,23,7,"3,806",181,5,502,67,13,"3,900",162,4,109,7,6,16,0,0,49,0,0,3,1470,15,298,344,13,11,476,9,581,3,1742,Matching,,375,7.2%,12,274,1,0,Matching and updated,,,
48281,"4,446",99,2,210,3,1,"1,400",30,2,"2,599",49,2,539,12,2,"3,882",87,2,32,1,3,20,3,15,48,0,0,2,1316,14,315,328,14,5,736,1,3682,1,3682,Matching,,,0.0%,7,2552,,1,Matching and updated,,,
47109,"4,424",875,20,355,132,37,93,5,5,"3,942",738,19,426,166,39,"3,987",709,18,4,0,0,0,0,0,20,0,0,0,4577,9,520,333,13,5,885,2,1923,5,983,Matching,,,0.0%,5,1481,,0,Matching and updated,,,
51099,"4,423","3,621",82,842,"1,082",129,251,107,43,"2,942","2,113",72,510,454,89,"3,903","3,167",81,27,6,22,6,0,0,53,0,0,2,2212,11,402,309,14,7,631,7,631,7,631,Matching,,,0.0%,7,2043,,0,Matching and updated,,,
21085,"4,422",31,1,42,0,0,71,0,0,"4,210",31,1,486,2,0,"3,909",29,1,6,0,0,0,0,0,12,0,0,1,3965,9,491,295,15,12,368,3,1473,0,0,Matching,,,0.0%,12,1414,,0,Matching and updated,,,
